"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Toolik","SG","SG8","C",2024,"Toolik.SG8.C.Red.2024",15,201
"Sagwon","CF","CF16","CF16",2016,"Sagwon.CF16.CF16.Black2.2016",16,231
"Sagwon","CF","CF16","C",2022,"Sagwon.CF16.C.Red.2022",9,214
"Coldfoot","TL","TL1","B",2022,"Coldfoot.TL1.B.Blue.2022",13,223
"Toolik","SG","SG3","SG3",2016,"Toolik.SG3.SG3.Black.2016",14,219
"Toolik","SG","SG10","B",2023,"Toolik.SG10.B.Yellow .2023",12,208
"Toolik","CF","CF4","C",2022,"Toolik.CF4.C.yellow.2022",11,234
"Toolik","SG","SG10","A",2022,"Toolik.SG10.A.red.2022",11,220
"Sagwon","SG","SG11","C",2022,"Sagwon.SG11.C.blue.2022",9,222
"Sagwon","TL","TL5","TL5",2015,"Sagwon.TL5.TL5.Black.2015",6,NA
"Toolik","CF","CF16","B",2024,"Toolik.CF16.B.blue.2024",13,213
"Toolik","TL","TL17","A",2022,"Toolik.TL17.A.blue.2022",11,211
"Coldfoot","TL","TL1","A",2023,"Coldfoot.TL1.A.Red.2023",14,222
"Sagwon","TL","TL10","TL10",2015,"Sagwon.TL10.TL10.Black.2015",10,206
"Coldfoot","CF","CF10","CF10",2016,"Coldfoot.CF10.CF10.Black.2016",13,229
"Toolik","TL","TL11","TL11",2016,"Toolik.TL11.TL11.Black.2016",14,226
"Sagwon","SG","SG14","A",2023,"Sagwon.SG14.A.Red.2023",13,224
"Toolik","SG","SG10","A",2024,"Toolik.SG10.A.blue.2024",15,201
"Sagwon","TL","TL17","B",2023,"Sagwon.TL17.B.yellow.2023",13,224
"Coldfoot","CF","CF6","CF6",2017,"Coldfoot.CF6.CF6.Black.2017",13,233
"Toolik","CF","CF13","C",2023,"Toolik.CF13.C.Blue.2023",14,235
"Sagwon","CF","CF19","A",2022,"Sagwon.CF19.A.blue.2022",9,206
"Coldfoot","TL","TL10","TL10",2016,"Coldfoot.TL10.TL10.Black.2016",13,194
"Coldfoot","CF","CF3","CF3",2016,"Coldfoot.CF3.CF3.Black.2016",8,182
"Coldfoot","SG","SG2","A",2024,"Coldfoot.SG2.A.Red.2024",17,215
"Sagwon","SG","SG19","B",2022,"Sagwon.SG19.B.red.2022",9,222
"Coldfoot","SG","SG1","B",2022,"Coldfoot.SG1.B.Blue.2022",13,216
"Toolik","CF","CF16","C",2023,"Toolik.CF16.C.red.2023",14,228
"Coldfoot","TL","TL3","B",2022,"Coldfoot.TL3.B.Blue.2022",13,223
"Sagwon","TL","TL4","TL4",2015,"Sagwon.TL4.TL4.Black.2015",10,210
"Sagwon","TL","TL13","A",2023,"Sagwon.TL13.A.Blue.2023",13,234
"Coldfoot","SG","SG1","A",2022,"Coldfoot.SG1.A.Blue.2022",13,216
