Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,SG,SG1,A,Blue2,2024,control,226,Coldfoot.SG1.A.Blue2.2024
Coldfoot,SG,SG1,A,Red,2022,control,228,Coldfoot.SG1.A.Red.2022
Coldfoot,SG,SG1,B,Blue,2022,control,230,Coldfoot.SG1.B.Blue.2022
Coldfoot,SG,SG1,B,Red,2022,control,225,Coldfoot.SG1.B.Red.2022
Coldfoot,SG,SG1,B,Yellow,2023,control,202,Coldfoot.SG1.B.Yellow.2023
Coldfoot,SG,SG1,B,Yellow2,2024,control,222,Coldfoot.SG1.B.Yellow2.2024
Coldfoot,SG,SG1,C,Blue,2022,control,228,Coldfoot.SG1.C.Blue.2022
Coldfoot,SG,SG1,C,Blue,2023,control,222,Coldfoot.SG1.C.Blue.2023
Coldfoot,SG,SG1,C,Blue2,2024,control,226,Coldfoot.SG1.C.Blue2.2024
Coldfoot,SG,SG1,C,Red,2022,control,223,Coldfoot.SG1.C.Red.2022
Coldfoot,SG,SG1,SG1,Black,2015,control,231,Coldfoot.SG1.SG1.Black.2015
Coldfoot,SG,SG1,SG1,Black,2016,control,237,Coldfoot.SG1.SG1.Black.2016
Coldfoot,SG,SG1,SG1,Black,2017,control,226,Coldfoot.SG1.SG1.Black.2017
Coldfoot,SG,SG10,A,Yellow,2023,control,204,Coldfoot.SG10.A.Yellow.2023
Coldfoot,SG,SG10,A,Yellow,2024,control,228,Coldfoot.SG10.A.Yellow.2024
Coldfoot,SG,SG10,A,blue,2022,control,231,Coldfoot.SG10.A.blue.2022
Coldfoot,SG,SG10,B,blue,2022,control,217,Coldfoot.SG10.B.blue.2022
Coldfoot,SG,SG10,B,blue,2023,control,217,Coldfoot.SG10.B.blue.2023
Coldfoot,SG,SG10,B,blue,2024,control,212,Coldfoot.SG10.B.blue.2024
Coldfoot,SG,SG10,C,red,2022,control,223,Coldfoot.SG10.C.red.2022
Coldfoot,SG,SG10,C,red,2023,control,217,Coldfoot.SG10.C.red.2023
Coldfoot,SG,SG10,C,red2,2024,control,218,Coldfoot.SG10.C.red2.2024
Coldfoot,SG,SG10,SG10,Black,2015,control,206,Coldfoot.SG10.SG10.Black.2015
Coldfoot,SG,SG10,SG10,Black,2016,control,206,Coldfoot.SG10.SG10.Black.2016
Coldfoot,SG,SG10,SG10,Black,2017,control,238,Coldfoot.SG10.SG10.Black.2017
Coldfoot,SG,SG2,A,Blue,2022,control,232,Coldfoot.SG2.A.Blue.2022
Coldfoot,SG,SG2,A,Red,2022,control,200,Coldfoot.SG2.A.Red.2022
Coldfoot,SG,SG2,A,Red,2023,control,219,Coldfoot.SG2.A.Red.2023
Coldfoot,SG,SG2,A,Red,2024,control,228,Coldfoot.SG2.A.Red.2024
Coldfoot,SG,SG2,B,Blue,2022,control,234,Coldfoot.SG2.B.Blue.2022
Coldfoot,SG,SG2,B,Blue,2023,control,196,Coldfoot.SG2.B.Blue.2023
